1626681600 1969 1969
1626681720 2023.5 2023.5
1626681840 2121.5 2121.5
1626681960 1984.5 1984.5
1626682080 2195 2195
1626682200 2119 2119
1626682320 2028 2028
1626682440 2158 2158
1626682560 2016.5 2016.5
1626682680 2061 2061
1626682800 2065 2065
1626682920 2028.5 2028.5
1626683040 2212.5 2212.5
1626683160 2028 2028
1626683280 2047.5 2047.5
1626683400 5029.5 1997.5
1626683520 2098 2098
1626683640 2009.5 2009.5
1626683760 2132 2132
1626683880 2303 2303
1626684000 2066 2066
1626684120 2025 2025
1626684240 2097 2097
1626684360 2098.5 2098.5
1626684480 2038 2038
1626684600 2178 2178
1626684720 5425 2046
1626684840 2079.5 2079.5
1626684960 2197.5 2197.5
1626685080 2044.5 2044.5
1626685200 2216 2216
1626685320 1961 1961
1626685440 2026 2026
1626685560 1970 1970
1626685680 2069.5 2069.5
1626685800 2039.5 2039.5
1626685920 2116 2116
1626686040 2133 2133
1626686160 2076.5 2076.5
1626686280 2067 2067
1626686400 4727 4727
1626686520 2050.5 2050.5
1626686640 2437 2437
1626686760 2092 2092
1626686880 2092 2092
1626687000 2061 2061
1626687120 6117 2317.5
1626687240 2021 2021
1626687360 2022.5 2022.5
1626687480 2066.5 2066.5
1626687600 2041.5 2041.5
1626687720 9931.5 2103
1626687840 12390 2440.5
1626687960 5516.5 2099.5
1626688080 2284.5 2284.5
1626688200 2068.5 2068.5
1626688320 6297.5 6297.5
1626688440 2021 2021
1626688560 12672.5 9095.5
1626688680 9089.5 9089.5
1626688800 2246 2246
1626688920 14420 14420
1626689040 15877.5 15877.5
1626689160 3641.5 3641.5
1626689280 30013.5 30013.5
1626689400 2227 2227
1626689520 4931.5 4931.5
1626689640 2045.5 2045.5
1626689760 2011 2011
1626689880 2126.5 2126.5
1626690000 2231 2231
1626690120 2850.5 2850.5
1626690240 2522.5 2522.5
1626690360 2044 2044
1626690480 3766 3766
1626690600 2450 2450
1626690720 2408.5 2408.5
1626690840 2733 2733
1626690960 2584.5 2584.5
1626691080 2039.5 2039.5
1626691200 2082 2082
1626691320 2097 2097
1626691440 2158 2158
1626691560 2072 2072
1626691680 2058.5 2058.5
1626691800 1997.5 1997.5
1626691920 2056.5 2056.5
1626692040 2051.5 2051.5
1626692160 2145 2145
1626692280 2154.5 2154.5
1626692400 2041.5 2041.5
1626692520 2103 2103
1626692640 2078.5 2078.5
1626692760 2161 2161
1626692880 2027.5 2027.5
1626693000 2064 2064
1626693120 2072 2072
1626693240 2161 2161
1626693360 2068 2068
1626693480 2062.5 2062.5
1626693600 2095 2095
1626693720 2075 2075
1626693840 2089 2089
1626693960 2607.5 2607.5
1626694080 2083.5 2083.5
1626694200 2051 2051
1626694320 2124.5 2124.5
1626694440 2113 2113
1626694560 2063.5 2063.5
1626694680 2262.5 2262.5
1626694800 2071.5 2071.5
1626694920 2053.5 2053.5
1626695040 2054 2054
1626695160 2357 2357
1626695280 2085 2085
1626695400 2104.5 2104.5
1626695520 2045 2045
1626695640 2012.5 2012.5
1626695760 1989.5 1989.5
1626695880 2069.5 2069.5
1626696000 2128 2128
